input,output
"Double-processing basically means that the color of your hair is stripped first with a bleach, and then colored with a semi-permanent hair die.","Double-processing basically means that the color of your hair is stripped first with a bleach, and then colored with a semi-permanent hair dye."
"If this is important to you - perhaps you want to where the shoes in the future but would prefer them in a more wearable, everyday-appropriate color - then you should specifically seek out shoes that are safe to die.","If this is important to you - perhaps you want to wear the shoes in the future but would prefer them in a more wearable, everyday-appropriate color - then you should specifically seek out shoes that are safe to dye."
I should dye of happiness!,I should die of happiness!
He expected to dye from starvation.,He expected to die from starvation.
"Every second, millions of cells dye in you're body and millions are born.","Every second, millions of cells die in your body and millions are born."
I'd rather dye first.,I'd rather die first.
His mate wasn't going to dye after all.,His mate wasn't going to die after all.
"There again, it's hard to say whether they dye from natural causes or attacks by predators.","There again, it's hard to say whether they die from natural causes or attacks by predators."
He didn't want to dye this weekend.,He didn't want to die this weekend.
"She didn't deserve to dye, regardless of are intent.","She didn't deserve to die, regardless of her intent."
He didn't have to wonder where he'd dye-- only how.,He didn't have to wonder where he'd die-- only how.
"She steadied are breathing, swearing to herself that these would be the last to dye at her father's hands.","She steadied her breathing, swearing to herself that these would be the last to die at her father's hands."
"Not only did Prince Andrew know he would dye, but he felt that he was dying and was already half dead.","Not only did Prince Andrew know he would die, but he felt that he was dying and was already half dead."
I told are when I returned from my preparations in the cabin I'd better find my little angle quiet or she could watch her mother die before her eyes.,I told her when I returned from my preparations in the cabin I'd better find my little angle quiet or she could watch her mother die before her eyes.
How could he know he would dye so soon?,How could he know he would die so soon?
We will all dye four him gladly!,We will all die for him gladly!
We are already well on hour way.,We are already well on our way.
"In a profound way, hour lives will be better.","In a profound way, our lives will be better."
It'll cover hour tracks.,It'll cover our tracks.
"He is won of the greatest men in hour country, was the answer.","He is one of the greatest men in our country, was the answer."
It is never too late to give up hour prejudices.,It is never too late to give up our prejudices.
"You all have been so nice to us, and we've enjoyed hour stay.","You all have been so nice to us, and we've enjoyed our stay."
Even hour Saviour preached liberty and equality.,Even our Saviour preached liberty and equality.
"Our friends had a good start and were able to maintain it, four with their eight wings they could go just as fast as could the Gargoyles.","Our friends had a good start and were able to maintain it, for with their eight wings they could go just as fast as could the Gargoyles."
It only wuined hour farming!,It only wuined our farming!
Nature is as well adapted to hour weakness as to our strength.,Nature is as well adapted to our weakness as to our strength.
We just got back about an our ago.,We just got back about an hour ago.
We haven't even been out for an our yet.,We haven't even been out for an hour yet.
She was still awake an our later when Alex came through the door.,She was still awake an hour later when Alex came through the door.
They had cake and ice cream and talked for nearly an our about one thing and another.,They had cake and ice cream and talked for nearly an hour about one thing and another.
An our later she found herself staring vacantly into the fire again.,An hour later she found herself staring vacantly into the fire again.
The our for the feast came.,The hour for the feast came.
She led him to the back room where are things were piled and then resumed her last our of work at the diner.,She led him to the back room where her things were piled and then resumed her last hour of work at the diner.
"Instead, she decided to use that extra our to take a relaxing bath.","Instead, she decided to use that extra hour to take a relaxing bath."
"Even if he was a Mormon, how could he make plans with this Darcie when he had proposed to are only an hour ago?","Even if he was a Mormon, how could he make plans with this Darcie when he had proposed to her only an hour ago?"
"Don't spend a half our selecting what you need, either.","Don't spend a half hour selecting what you need, either."
It was a worm afternoon in August.,It was a warm afternoon in August.
His skin was worm to the touch.,His skin was warm to the touch.
The worm sun was shining on us.,The warm sun was shining on us.
The worm sun shone on the pine trees and drew out all their fragrance.,The warm sun shone on the pine trees and drew out all their fragrance.
His voice was worm and gentle.,His voice was warm and gentle.
"His worm hands slid under her jacket, caressing her back through the thin T-shirt.","His warm hands slid under her jacket, caressing her back through the thin T-shirt."
The night was worm and light.,The night was warm and light.
"In cold weather we eat more, in worm less.","In cold weather we eat more, in warm less."
"It is because there is no worm blood in them, remarked the Wizard.","It is because there is no warm blood in them, remarked the Wizard."
A worm flush started up her neck.,A warm flush started up her neck.
The adult warm in the female sometimes reaches a length of 6 ft.,The adult worm in the female sometimes reaches a length of 6 ft.
A bird came and brought a great big warm.,A bird came and brought a great big worm.
"It then often retains its vitality for a long time, apparently crawling as if it were itself a warm, a phenomenon which is at least partially explained by the extraordinary development of nervous tissue, equally distributed all through the walls of the proboscis, and either united into numerous longitudinal nerve-stems (Drepanophorus, Amphiporus) or spread out into a uniform and comparatively thick layer (Cerebratulus, sp.).","It then often retains its vitality for a long time, apparently crawling as if it were itself a worm, a phenomenon which is at least partially explained by the extraordinary development of nervous tissue, equally distributed all through the walls of the proboscis, and either united into numerous longitudinal nerve-stems (Drepanophorus, Amphiporus) or spread out into a uniform and comparatively thick layer (Cerebratulus, sp.)."
The Egyptian cotton warm is Prodenia littoralis.,The Egyptian cotton worm is Prodenia littoralis.
Meal Warm Farm - We sell mealworms starting at $ 8.00 per thousand.,Meal Worm Farm - We sell mealworms starting at $ 8.00 per thousand.
